,Date,Company,Title,City,Region,Country,Level,Type,Requirements,Industry,Link
199,2022-04-08,Page Personnel,Operations Data Analyst, Chatswood, New South Wales, Australia , Entry level,Full-time ,Chatswood Location|Global Fortune 250 Company About Our Client  Our Client  A global Fortune 250 company and leader in providing innovative consumer  commercial and enterprise technology. A portfolio of high-quality  secure products and services covers PCs  workstations  servers  storage  smart TVs and a family of mobile products like smart phones  tablets and apps.  An employer with more than 60 000 staff worldwide who share a common aspiration to be the very best. We are a company that delivers unparalleled products created and supported by people with a wealth of different cultures and experiences. Our strength lies in this diversity. We are dedicated to fostering an environment that encourages entrepreneurism and ownership. A workplace where people's talents can be challenged  and their efforts recognised and rewarded.  Job Description  The responsibilities for this role are: Assist with the creation and consolidation of timely  high quality and consistent sales performance reports Support maintaining a common source of reporting Assist with sales analysis and forecasting  deep dive analysis Support with communicating reporting insights to key stakeholders Use of excel and reporting tools including SQL The Successful Applicant  Successful Candidate Completed a bachelor's degree in Business Administration or Finance or Commerce with some level of IT specialisation (computer science or programming) SQL experience Experience with sales analysis and forecasting  deep dive analysis Willing to learn Experience with Excel and other programs We Offer  What's on Offer Flexible working environment Opportunity to work with talented professionals and learn from their experiences Corporate Environment Mentoring Contact: Carina Banks  Quote job ref: JN-032022-5399562  Brand: PP, Staffing and Recruiting,https://www.linkedin.com/feed/?doFeedRefresh=true&nis=true
200,2022-04-16,NewyTechPeople,Data Analyst, Sydney, New South Wales, Australia ,,Full-time,Data Analyst   Who we’re looking for:  A Data Analyst that will help this non for profit organisation write SQL queries and use SSRS to build custom reports through Power BI. You will support the delivery of strategic and operational objectives by delivering value-adding services better practice and technology  through the following teams: Business Optimisation  Finance  ICT  Marketing and Communication  Procurement and Facilities Management.  This is a permanent role with an opportunity for full-time remote work as the client's head office is based in Newcastle.  What you’ll bring:  You will bring experience with MS SQL  SSRS and developing capability dashboards through Power BI. Having experience with Data Warehousing in Data Vault or Inmon methodology is desirable.   About the Company  This company leading provider of health services throughout regional  rural and remote communities across Australia. Their focus is on delivering better health outcomes for Australians  supporting them to live independent and active lives. They provide a range of health and wellbeing services for older people and their families.  What’s next?  The easiest way to register your interest is to apply using the link. If you’d like to have a chat before applying  please contact Craig Bird on 0409321995 or craig@newytechpeople.com.au, IT Services and IT Consulting,https://www.linkedin.com/feed/?doFeedRefresh=true&nis=true
201,2022-04-19,I work for NSW,Data Quality Analyst, Sydney, New South Wales, Australia ,,Full-time,The State Insurance Regulatory Authority (SIRA) are currently looking for a Data Quality Analyst to join our team!  Benefits 1x ongoing and 1x temporary (2 year) clerk grade 7/8 Opportunity. Salary range: $99 431 – $110 064 plus super  commensurate with experience. Genuinely flexible working arrangements. State of the art offices. Wellbeing programs and resources available. Excellent career development and learning development opportunities. About Us  DCS is transforming the way NSW Government agencies interact with customers. We are passionate about putting the customer at the centre of everything we do and adopting new technologies to make government work better.  DCS is a service provider and regulator  focusing on delivering first-class customer service  digital transformation and regulatory reform to create better outcomes for the people of NSW.  This is an exciting opportunity to work in our State Insurance Regulatory Authority (SIRA) who regulates three statutory insurance schemes in NSW. This role sits more specifically in our engineering team  within the Regulatory Intelligence Analytics directorate who are responsible for the management of the data environment and data products for all schemes across the data pipeline to support SIRA’s requirements. They also manage the SIRA analytics environment from the ingestion  data quality/modelling engineering  ETL/API orchestration  data visualisation  metrics  reporting and advanced data research  in adherence to strict data governance requirements.  Successful applicants will be required to provide record of their COVID-19 vaccination status or have an approved medial contraindication certificate. These mandatory requirements apply to both internal and external preferred candidates and must be completed prior to commencing in the position.  Understand more about the Department of Customer Service – here .  Your Responsibilities Will Include Maintaining  developing  and reviewing changes to data to ensure adherence to legislation as well as creating a division-wide data quality log to meet key business objectives. Aligning with database developers to test and implement databases that will have a wholehearted effective on the quality and efficiency of work collected in the team. Ensuring customer feedback is central by maintaining quality data using internal metrics  feedback and questions to meet client and stakeholder needs. Partner with key internal stakeholders to prioritise business needs and clearly identify new process which will continuously improve systems and processes for the division. Assess data quality and risks across the division whilst ensuring business requirements are met. For more information on the role and its accountabilities  click here to view the role description.  About You An analytical thinker who can think outside the box to solve complex problems. A flexible worker who can adjust their capabilities to suit a variety of stakeholders Be responsible for data quality logging and establishment  investigation into data quality issues and resolution  monitor data platforms usage  implement appropriate data quality controls  co-ordinate and support any data related queries  process improvement and implement best practice in all aspects of data. Advanced level capability in: Working with large and complex data sets  to evaluate and interpret trends and important information. Ability to work across different SIRA teams Agile project experience desirable Technical skills of SQL  Python and Java. Desirable skills in Snowflake and Talend data management. Tertiary qualifications in data engineering/information technology  statistics mathematics or equivalent. Thrives around people  working towards collaborative relationships with internal and external stakeholders. If you want to be part of this forward thinking  innovative team that thrive in challenging the status quo  we would love to hear from you!  Closing date: Thursday 28th April [at 9:59am]  What We Need From You  To start your journey towards becoming our Data Quality Analyst  please click on the link below and attach your resume (max 5 pages) and cover letter (max 2 pages).  In your cover letter please share your motivation for applying for this position and your relevant skills.  For any enquiries regarding this role  please contact Tulika Varshney  Data Engineering Manager on 02 9618 8521 or tulika.varshney@sira.nsw.gov.au  For any enquiries regarding this recruitment  please contact Sandy Anderson  Assistant Talent Acquisition Advisor at sandy.anderson@customerservice.nsw.gov.au  Our Commitment to Diversity  Inclusion & Flexibility  We are committed to diversity  inclusion  and new ways of working.  The Department of Customer Service serves all the people of NSW and we want to reflect that diversity in our people. We welcome and encourage applications from people with disability  Aboriginal and Torres Strait Islander peoples  culturally and linguistically diverse groups  the LGBTIQ+ community  veterans  carers  refugees  people in regional NSW and people of all ages. We strive to be an inclusive workplace where all our people can bring their authentic selves to work without judgement.  We understand that there are different ways of getting the job done and offer flexible working arrangements where and when possible.  If you do require an ability adjustment during the recruitment process  please notify us on your application form., Government Administration,https://www.linkedin.com/feed/?doFeedRefresh=true&nis=true
202,2022-04-12,AustralianSuper,Data Analyst, Melbourne, Victoria, Australia , Entry level,Contract ,We are Australia's largest superannuation fund  here to help members achieve their best possible retirement outcome. Working with a wide range of stakeholders  we create meaningful value for members and our communities through our diverse workforce of highly competent and highly motivated employees.  Your new team  Our Finance and Operations group ensures the Fund's considerable financial  commercial  legal  and operational activities are timely and accurate. Dedicated to continuous improvement  it is a team led by managers who advocate for their people  are open and approachable and who share their knowledge. Our environment enables you to seize exciting career opportunities  to feel trusted and respected  and to lead a fulfilling life with true workplace flexibility.   Your new role  This 12 month contract role is an opportunity to learn and undertake daily control tasks and monitor daily database updates to ensure accurate and timely delivery of data to performance  compliance  risk and  investments teams. You will maintain and continuously improve the data environment and will be endlessly curious and eager to learn.  In this role  you will:  Identify  investigate  and resolve data exceptions and data quality issues Maintain security master in multiple systems Understand and take ownership of the investment data lifecycle to resolve data and reporting issues Identify and recommend improvements to data collection  data maintenance  data timeliness and information outputs within Investments and Member data Identify and integrate new data sets that are of value to the fund Actively contribute new ideas to holistically innovate processes with regards to reducing risk  increasing quality  dependability  and speed Assist with ad hoc data management and reporting requests when required This is a 12 month role but as we continue to grow there could be opportunities down the line for it to be longer.   What you'll need  Tertiary qualification in Finance  Accounting  Commerce  or related field. Strong knowledge of financial instruments and investments data (e.g. Equities  Fixed Income  Derivatives) including how they are valued. 2+ years working in Financial Services in Custody  Asset Management or Superannuation. SQL and Python skills highly regarded but not essential. Exposure to Aladdin or other similar portfolio management software is advantageous. Comfortable in working with high volumes of data and strong attention to detail.   What you'll get in return  You will be working with a manager who values and supports your personal growth  in a growing  dynamic  and authentic organisation that promotes integrity and puts members first. Other benefits include a competitive salary  genuine flexible working arrangements  discounted travel  income protection insurance and generous leave entitlements.  We are committed to the recruitment  development  and support of a diverse workforce into an environment which is inclusive  embraces diversity in all its forms and is a place where you can be you. All roles can flex at AustralianSuper and we're happy to discuss what this can look like for you.  We are proud to be a WGEA certified Employer of Choice for Gender Equality (since 2012) and to be recognised as one of Australia's top 10 workplaces for Dads.  What's next  Please apply now  if you share our values of Energy  Integrity  Generosity of Spirit and Excellent Outcomes and would like the opportunity to work in a challenging  growing and rapidly evolving team to deliver outstanding results.  Be Inspired  Be Bold  Be You  Agencies please note: this vacancy is being managed directly by AustralianSuper's Recruitment team. We will contact our preferred agency partners should we require additional support. Thank you., Financial Services,https://www.linkedin.com/feed/?doFeedRefresh=true&nis=true
203,2022-03-31,City of Melbourne,City Insights Analyst, Melbourne, Victoria, Australia , Mid-Senior level,Full-time ,Opportunity for interaction with high profile stakeholders! Permanent Hybrid (WFH/On-Site)  We are the City of Melbourne  a City of possibility and place to be bold and inspirational.  We are rapidly transforming to meet the evolving challenges faced by a global city. With a vision of being a leading organisation for a leading capital city  our mission is to create positive impact for our community. Each day  we work with passion and purpose so that together we achieve incredible things.  Together we Make the Difference  How this position will Make the Difference to City of Melbourne… Keeps in touch with trends that impact the present and shape the future Employs a consulting mind-set including a range of analysis tools  to provide actionable insights and data-driven recommendations Works collaboratively  contributing to the successful delivery of projects from city planning to community strategies Provides the opportunity for interaction with high profile stakeholders including the Lord Mayor’s Office  the CEOs Office  the media  Strategic Communication as well as teams all across CoM. What you will bring… (Selection criteria) A relevant tertiary qualification in ICT  data science/business analytics  mathematics or economics/econometrics  or demonstrated relevant  equivalent professional experience in data analytics Urban and demographic analytics background is desirable. Experience contributing to and working in a data science and analytics team that drives genuine business value Proficient skills in data analysis and interpretation  including experience in using data  statistical and visualisation tools such as SQL  SPSS  R  Python or other similar tools Working knowledge of Excel  Power BI  SharePoint  Shiny and GIS Experience in working with a range of data visualisation tools and software interfaces to create and maintain insightful and story-telling dashboards Demonstrated organisational and prioritisation skills  with the ability to manage complex projects simultaneously in an environment of short time frames and tight deadlines Partner collaboration capabilities  including a solid track-record in establishing and nurturing partnerships in a complex environment Experience working in an agile environment  with the ability to effectively collaborate with cross-functional and multi-disciplinary teams Desire to work in a structured manner enabling continual  incremental improvement and a test-and-learn mindset Good level of interpersonal and communication (verbal and written) skills Ability to demonstrate and display City of Melbourne Values – accountability  integrity  courage  respect for self and others  and striving for excellence By joining us  you will become part of a remarkable team who work in a constructive and inclusive culture to shape the future of this city. Together  we champion difference  celebrate achievement and recognise positive impact.  To view the physical requirements of this position  please see below under Position Information.  It is a mandatory requirement of the City Of Melbourne for all employees to be fully vaccinated against COVID-19  How to apply…  As part of the online application form you are required to: attach your resume attach a separate cover letter (no more than one page) respond to selection criteria (one page)  Please address your covering letter to Katie Bayley  Head of City Insights  City Data  For further information please refer to the position description (link below)  or reach out to Katie Bayley on: katie.bayley@melbourne.vic.gov.au  Applications will be accepted up until 11:45pm  Wednesday 27 April 2022.  For those interested in working with us   the City of Melbourne offers a great range of benefits. If you have any questions  or for more information  please contact careers@melbourne.vic.gov.au  City of Melbourne conducts a safety screening process for all employees including a Police and Working with Children Check. For information about the broader collection and use of personal information by the City of Melbourne  please refer to our Privacy Policy  City of Melbourne is proud to be a workplace that champions diversity. Our commitment is for our people to be safe  included and supported so that they can be at their best. As an equal opportunity employer  we encourage applications from people regardless of their gender identity and expression  ethnicity  cultural background  sexual orientation  disability and age. We look for the right values  skills and knowledge to build our capabilities so that we can best deliver for our community., Government Administration,https://www.linkedin.com/feed/?doFeedRefresh=true&nis=true
204,2022-03-30,Tata Consultancy Services,Data analyst (DWH  ETL & BI ), Melbourne, Victoria, Australia , Mid-Senior level,Full-time ,Posted by Deepa Sayapaneni Talent Acquisition Specialist at Tata Consultancy Services Send InMail About Organization: Tata Consultancy Services (TCS) is a global leader in IT services  digital and business solutions that partners with its clients to simplify  strengthen and transform their businesses. We ensure the highest levels of certainty and satisfaction through a deep-set commitment to our clients  comprehensive industry expertise and a global network of innovation and delivery centers. For more information  visit us at www.tcs.com  JD below. Prior strong data analysis experience Advanced knowledge of SQL and understanding of system data flows Strong DWH  ETL & BI experience Strong problem solving and quantitative analysis skills Ability to translate analysis outcomes into commercial solutions.  You must be an Australian / New Zealand Citizen or Permanent Resident of Australia  All applicants who meet the requirements will be considered equally and fairly for employment., IT Services and IT Consulting,https://www.linkedin.com/feed/?doFeedRefresh=true&nis=true
205,2022-03-18,RAC WA,Data Analyst, Perth, Western Australia, Australia , Entry level,Full-time ,Posted by Jason Crooks Talent Acquisition Partner IT - Recruitment across Dynamics CRM / CE / F&O  Full Stack Development (.NET / React / Angular)  Azure  Project Management  Product Ownership  Agile & Scrum  Data  Cyber Send InMail At RAC we are focusing on Data and Analytics to help better serve our members  and have an exciting position for someone who is wanting to become a data analytics professional. You will be working with the team to deliver real value and enable a better  personalised member experience.  We have multiple positions that are permanent  full-time opportunities.  What's in it for you?   Working in an environment that is embracing a continuous improvement culture using experimentation to support learning Time dedicated to your personal development time with access to training  development  and certification programs to ensure you can upskill Being part of empowered  cross-functional agile delivery teams that works with the business to build systems that solve problems Complete flexibility to choose between working from the home or office with flexible hours for a better work life balance Building digital systems that will shape the future for the RAC and a better WA Gain RAC Staff Benefits including free Roadside Assistance and 25% discount on your Insurances  Social Club and access Fitness Passport for cheaper gym memberships What will you be doing?   Engaging with business SME's to understand the problem and using your suite of skills to deliver relevant solutions Working in the Azure stack to build sustainable and scaleable data pipelines Performing adhoc analysis on data and information to make insights available for the business Ensuring accuracy  consistency and timeliness of data  to identify system improvement opportunities Lead engagements with stakeholders in the business to ensure decisions are backed by data What are we looking for?   You're a restless learner  having learned something new within the last 3 months. You have a passion for sharing your skills and building a community. You will have experience with SQL  R/Python  Excel (Power Query)  BI reporting and visualisation tools You will know what makes a good data model and can separate facts from dimensions You can explain with ease  concepts on database schemas  design and how to optimise for performance You will be a keen problem solver with a passion for data and analytics to drive better services and improved performances for our members Tertiary qualifications in a quantitative field such as  Science  Statistics  or in Business  Commerce  or Marketing discipline are mandatory Please note: We encourage you to apply as soon as possible  as RAC reserves the right to close this vacancy without notice. For any questions about the role please contact Jason Crooks on 08 9436 4486   To help ensure the health  safety and wellbeing of our people and members  RAC require employees to be fully vaccinated against COVID-19. Confirmation of your vaccination (and/or medical exemption) details will be required during the recruitment process., Consumer Services,https://www.linkedin.com/feed/?doFeedRefresh=true&nis=true
206,2022-04-19,Tata Consultancy Services,Data Analyst, Sydney, New South Wales, Australia , Mid-Senior level,Full-time ,Posted by Chandra Beulah G. 2nd Projects for JAVA  DevOps Big Data who has full working rights to work in Australia connect if interested Send InMail Hands-on experience in designing and configuration of Splunk architecture solution for Monitoring and Analytics Hands-on experience in administration of Splunk Cloud and on-prem components like Heavy Forwarders  Deployment Server and Universal Forwarders Experience in onboarding data into Splunk from various sources like logs  HEC  syslog  network devices  Windows events  scripts etc. Capability in developing dashboards and reports that can provide ongoing visibility into the performance of client applications. Experience in parsing and masking of data prior to ingestion in Splunk Experience in installation  configuration and usage of Splunk Apps and Add-ons Sound knowledge in configuration of Alerts and Reports. 8. Good exposure in automatic lookup  data models and creating complex SPL queries, IT Services and IT Consulting,https://www.linkedin.com/feed/?doFeedRefresh=true&nis=true
207,2022-04-21,Robert Half,Business Intelligence (BI) Consultant, Brisbane, Queensland, Australia , Entry level,Full-time ,The Company  Are you fascinated by the strategy behind analysis  digging into big data  and working alongside business leaders on complex  multi-source data to explore  generate and test business assumptions? If that sounds like you  our client is offering an exciting opportunity for your skills as a BI Analyst. If you are an exceptional professional who is passionate about strategy  analysis  presenting ideas to partners and team members and being responsible for driving business process models  this could be the role for you.  The Role  You'll be part of a talented team responsible for accelerating and improving decision-making  increasing operational efficiency and gaining competitive advantages. Harness your technical skills for advanced analytics  such as data mining  predictive analytics  statistical analysis and big data to allow the business to focus on forecasting future events and behaviours. You will collaborate with business users  manage ETL processes  and utilise established data warehousing practices and data visualisations.  Your Skills & Experience Degree in Computer Science  Applied Statistics  or Business Analytics. Additional qualification - MBA preferred. Documentation skills (procedural  object oriented  and flow-charting). Demonstrated experience in the following BI tools and technologies: SAP  SQL  Database Replication Technologies  Web Intelligence  Crystal Report 2013 or higher. Excellent inter-personal skills and the ability to work on multiple projects simultaneously. About You  You thrive in a fast-paced work environment  and are easily able to handle a number of large projects while also managing smaller  filler projects at the same time while meeting strict deadlines. You have exceptional problem solving ability with the natural creative flair to provide innovative solutions. You have outstanding interpersonal skills to motivate and mentor your team.  What's on offer? An exceptional opportunity to be part of a growth-focused company that champions innovation and excellence. A rare chance to build on your current skill set and play an active role leading a variety of projects. A fast-paced  high energy workplace where your talent will make a real contribution to business growth. The camaraderie of an impressive team in an environment where work-life balance is actively supported. Robert Half Ltd is committed to equal opportunity and we value diversity at our company. We do not discriminate on the basis of categories protected under local law., Staffing and Recruiting,https://www.linkedin.com/feed/?doFeedRefresh=true&nis=true
208,2022-04-03,Resolution Life,Systems Data Analyst, Sydney, New South Wales, Australia , Entry level,Full-time ,At Resolution Life  we’re proud to have evolved into a global business under the Resolution Life name. For customers  advisers  companies and the industry. We’re making an impact worldwide  Resolution Life Group is a global life insurance group focusing on the acquisition and management of in-force life insurance policies. With assets of $31 billion and 1.5 million customers  Resolution Life are providing existing customers with life insurance  super and investments.  Why us?  Our platform vision is to be the leading in-force specialist life-insurer in Australasia by 2024  by being customer-obsessed and data-driven.  We are one of the first life insurers globally to operate in an entirely Enterprise Agile environment. The strategic priorities of the platform are focused on ensuring the business is future-fit and sustainable  and to grow through bolt-on acquisition of in-force portfolios. We are guided by core behaviours that inform the way Resolution Life team members show up each day and interact with others.  Systems Data Analyst  Critical Skills  At Resolution Life  we have identified the following critical skills which are key to success in our culture: Customer Focused: Passionate drive to delight our customers and offer unique solutions that deliver on their expectations. Critical Thinking: Thoughtful process of analysing data and problem-solving data to reach a well-reasoned solution. Team Mentality: Partnering effectively to drive our culture and execute on our common goals. Business Acumen: Appreciation and understanding of the financial services industry in order to make sound business decisions. Learning Agility: Openness to new ways of thinking and acquiring new skills to retain a competitive advantage. What Will We Do For You  Our culture underpins our values and guides our decision making. It's also what makes Resolution Life a great place to work.  Resolution Life Australasia supports virtual working  and our enduring primary place of work continues to be “virtual” with the physical office and home office used interchangeably. We recognise that our workers can contribute and connect equally regardless of where they are located  and we have seen and experienced the wellbeing and benefits that come from working at home. This means some of us work at home most of the time  in the office most of the time or a balanced mix.  Every day is an opportunity to grow – and we hope to offer our people a career  not just a job.  The learning and development opportunities we offer include supporting the completion of executive-level short courses  access to leading online learning tools  on the job training  and mentoring by highly experienced business leaders.  Join us  Before commencing employment in this role you will need to provide two references  full working rights and complete police and credit checks through an online provider.  As an equal opportunity employer strongly committed to working in a diverse and inclusive workforce you will be provided with any support or accessibility requirements throughout your interview process. Please feel free to contact our Talent Team directly at talent@resolutionlife.com.au., Financial Services,https://www.linkedin.com/feed/?doFeedRefresh=true&nis=true
209,2022-04-19,Jobs on jobactive,Process Control Data Analyst, Orange, New South Wales, Australia , Entry level,Full-time ,This job is sourced from a job board. Learn more Experience a Connection With Us  Our vision is to be miner of choice for our people  shareholders  host communities  partners and suppliers. With a commitment to our people  safety and sustainability  embracing technology and innovation  we are securing our future success together. We build and maintain close relationships with our local communities  ensuring our work creates a positive social impact.  Operations near and far  Our Cadia site is located in Central West New South Wales  approximately 25 kms outside the vibrant regional town of Orange and three hours’ drive from Sydney. Employees reside in the varied accommodation options in Orange  with the surrounding winery and national park areas to enjoy. Have access to the area’s wide range of amenities  including a prominent health sector  excellent educational and sporting facilities  shopping  transport and other services such as childcare.  Who Are We Looking For  We are seeking a driven and organised Process Control Data Analyst to gather  investigate and visually represent Cadia’s Process Control data illustrating actionable insights across the process value chain.  Reporting to the Senior Process Engineer  this first of a kind opportunity will see you gather  filter  organise and translate operational process data into user friendly reports  dashboards and models for various stakeholders. Additionally  you will be responsible for the visual development of Cadia’s process control exploratory data when used to showcase process control instability  variability and optimisation opportunities across the full value chain.  Other Key Deliverables Include Develop and maintain data analytics health monitoring such as data historian  servers  and all interconnecting IoT infrastructure unique to the Process Control & Analytics domain Build data analytics solutions  reports and / or dashboards for Process Control & Analytics and Process Control stakeholders Seek continuous improvement through analysis of process control performance and identification of production uplift projects to be executed within the Process Control & Analytics domain Continuous upskilling of knowledge on the latest data analysis techniques and technologies Regular audit the process control data environment for safety and material risk issues As the ideal candidate  you will possess domain knowledge either in Mining  Oil & Gas or Heavy Industry. Through previous experience in a similar role  you will have mastered the ability to acquire and present data from primary or secondary data sources  analyse results using mathematical techniques  and finally identify patterns and trends in data sets. Leveraging your passion for mathematics and statistics  you will enjoy data mining and structuring raw data sources enhancing organisation’s capabilities to best use its data to drive improvement.  In Addition  You Will Also Have Bachelor/Masters in Analytics  Engineering  Mathematics or equivalent essential Proficiency in Microsoft Excel  PowerPoint  SQL  PowerBI  core analytics packages and data visualisation Programming knowledge in JavaScript  MATLAB  SQL  C/C++  Python  R  SAS and / or other programming languages Awareness of machine learning practices Utilisation of process control data historians such as Pi-AF Excellent communication and presentation skills and ability to work with team members and stakeholders at all levels Please note: This is position is based in Orange  NSW and/or for the right candidate options for working from a home office with periodic site visits  on a 5/2 roster (Mon – Fri). Willingness and ability to travel on a periodic basis to regional cities and/or mine sites is essential.  Our commitment to you  Keeping our people safe and healthy is our most important asset. Our commitment to safety  health and well-being is supported by systems and standards that embed our safety culture.  Newcrest is also committed to building a diverse workforce. Our strategic focus is on gender diversity and diversity to reflect the communities in which we operate. Creating an inclusive culture will enable us to leverage the richness of cultures across our workforce and the capability of our diverse employees to get better business outcomes.  Cadia Valley Operations is now a smoke free work environment  since 1 January 2020.  If you are seeking a new career challenge  where you can transfer your existing skills  into a innovative and high performing environment  we’d love to hear from you!  At this stage  we are not accepting any external agency CVs for these opportunities., Government Administration,https://www.linkedin.com/feed/?doFeedRefresh=true&nis=true
210,2022-04-09,NewyTechPeople,Data analyst, Melbourne, Victoria, Australia , Entry level,Full-time ,This job is sourced from a job board. Learn more Apr 16  2022  Data analyst NewyTechPeople Remote (Melbourne VIC  Australia) Job Description  Data Analyst  Who We’re Looking For  A Data Analyst that will help this non for profit organisation write SQL queries and use SSRS to build custom reports through Power BI. You will support the delivery of strategic and operational objectives by delivering value-adding services better practice and technology  through the following teams: Business Optimisation  Finance  ICT  Marketing and Communication  Procurement and Facilities Management.  This is a permanent role with an opportunity for full-time remote work as the client's head office is based in Newcastle.  What You’ll Bring  You will bring experience with MS SQL  SSRS and developing capability dashboards through Power BI. Having experience with Data Warehousing in Data Vault or Inmon methodology is desirable.  About The Company  This company leading provider of health services throughout regional  rural and remote communities across Australia. Their focus is on delivering better health outcomes for Australians  supporting them to live independent and active lives. They provide a range of health and wellbeing services for older people and their families.  What’s next?  The easiest way to register your interest is to apply using the link. If you’d like to have a chat before applying  please contact Craig Bird on or craig@newytechpeople.com.au  About NewyTechPeople  Contributing to the growth of the Newcastle technology community. We are the only company to recruit exclusively in the Newcastle technology sector. We showcase the tech events happening locally  highlight the strong tech talent through our podcast  and attract the best talent for companies we work with.  With a combined 18 years’ experience recruiting in Newcastle  we have joined forces under the NewyTechPeople banner  to support one another  and support our clients in attracting and retaining the best talent  that will ultimately give their business a competitive advantage.  We work with start-ups  scale-ups  product companies  digital firms and local enterprise. We’re excited to continue to provide an unparalleled quality of service to Newcastle and The Hunter region.  Apply Now, IT Services and IT Consulting,https://www.linkedin.com/feed/?doFeedRefresh=true&nis=true
211,2022-04-05,Lander & Rogers,Data Analyst, Melbourne, Victoria, Australia ,,Full-time,About The Company  Lander & Rogers is a leading independent law firm  with offices in Melbourne  Sydney and Brisbane and global reach. Our focus is on innovating the client experience and leading change in legal service delivery. We are also committed to supporting our communities through our pro bono work.  About The Role  This is a fantastic opportunity to join our iHub team. An award-winning  multi-disciplinary team of problem solvers and innovators that create smart solution to both everyday and complex business challenges.  The team draw on their expertise in law  business and technology  to advise  support and guide clients on process optimisation and business transformation solutions.  As our Data Analyst you will create valuable  transformative business strategies through the measurement  manipulation  modelling and dissemination of broad sets of data. You will conduct deep analytics on a broad set of internal and external data and visualise findings and insights from that analysis.  Responsibilities  Acquire and process data from multiple sources and systems Filtering  cleansing  de-duplicating  validating  and seek gaps in the data Perform calculations  translations  or summarizations based on the cleansed data Analyse and support the interpretation of insights from the data set Identify opportunities to get value from under-utilised/unidentified analysis/insights Prototype and build reports and dashboards Understanding  assessing  navigate  and mapping the data topology Awareness of and commitment to Information Security standards Ability to work effectively across teams and able to clearly and accurately convey technical information to an audience with a wide range of technical understanding Logical  analytical and flexible thinker  approachable  flexible and works well with others in a respectful  collegiate and collaborative manner.  About You Suitable candidates will ideally come from a Professional Services (ideally Legal) or Consulting background and are looking to take the next step in their career A degree in computer science  engineering  applied math  quantitative social sciences  or related field is highly desirable Knowledge in machine learning and generic algorithms including cost function  neural networks  random forest  support vector machines  gradient boosting  Naïve Bayes  etc. Micro-credentials in Data Analytics or Data Engineering Courses is highly desirable Experienced Microsoft databases technologies including SQL  SSRS and SSIS Reporting services with SSRS Exposure to tools such as Excel  VBA  Tableau and Power BI Previous experience conducting analysis with statistical techniques including correlation  regression  clustering  time-series  etc. Programming experience with Python  and/or R Ability to apply analytic and quantitative tools and modelling techniques to derive business insights and solve complex business problems Simplify complex data concepts into digestible for a diverse audience at all levels Strong critical thinking and creative problem-solving skills Strong problem-solving skills Desire to learn and develop within a dynamic  self-led organization Experience in presenting data and insights in a clear and digestible format for all stakeholders Preferred: Hands-on experience in building data solutions for advanced analytics Familiar with concepts of data taxonomy and big data technologies AI or Machine learning experience Understanding of and exposure to finance terminology. Culture  People choose Landers for our down-to-earth  collaborative and supportive culture. We invest in our people and empower them to bring their best selves to work  both personally and professionally. We promote a diverse and inclusive environment with a strong focus on wellbeing  leadership and development.  How To Apply  Click APPLY or visit www.landers.com.au for more information.  Lander & Rogers is an equal opportunity employer that embraces diversity and inclusion.  We conduct background checks including criminal record checks on all successful candidates as a condition of employment., Law Practice,https://www.linkedin.com/feed/?doFeedRefresh=true&nis=true
212,2022-04-05,Resolution Life,Systems Data Analyst, Melbourne, Victoria, Australia , Entry level,Full-time ,At Resolution Life  we’re proud to have evolved into a global business under the Resolution Life name. For customers  advisers  companies and the industry. We’re making an impact worldwide  Resolution Life Group is a global life insurance group focusing on the acquisition and management of in-force life insurance policies. With assets of $31 billion and 1.5 million customers  Resolution Life are providing existing customers with life insurance  super and investments.  Why us?  Our platform vision is to be the leading in-force specialist life-insurer in Australasia by 2024  by being customer-obsessed and data-driven.  We are one of the first life insurers globally to operate in an entirely Enterprise Agile environment. The strategic priorities of the platform are focused on ensuring the business is future-fit and sustainable  and to grow through bolt-on acquisition of in-force portfolios. We are guided by core behaviours that inform the way Resolution Life team members show up each day and interact with others.  Systems Data Analyst  Critical Skills  At Resolution Life  we have identified the following critical skills which are key to success in our culture: Customer Focused: Passionate drive to delight our customers and offer unique solutions that deliver on their expectations. Critical Thinking: Thoughtful process of analysing data and problem-solving data to reach a well-reasoned solution. Team Mentality: Partnering effectively to drive our culture and execute on our common goals. Business Acumen: Appreciation and understanding of the financial services industry in order to make sound business decisions. Learning Agility: Openness to new ways of thinking and acquiring new skills to retain a competitive advantage. What Will We Do For You  Our culture underpins our values and guides our decision making. It's also what makes Resolution Life a great place to work.  Resolution Life Australasia supports virtual working  and our enduring primary place of work continues to be “virtual” with the physical office and home office used interchangeably. We recognise that our workers can contribute and connect equally regardless of where they are located  and we have seen and experienced the wellbeing and benefits that come from working at home. This means some of us work at home most of the time  in the office most of the time or a balanced mix.  Every day is an opportunity to grow – and we hope to offer our people a career  not just a job.  The learning and development opportunities we offer include supporting the completion of executive-level short courses  access to leading online learning tools  on the job training  and mentoring by highly experienced business leaders.  Join us  Before commencing employment in this role you will need to provide two references  full working rights and complete police and credit checks through an online provider.  As an equal opportunity employer strongly committed to working in a diverse and inclusive workforce you will be provided with any support or accessibility requirements throughout your interview process. Please feel free to contact our Talent Team directly at talent@resolutionlife.com.au., Financial Services,https://www.linkedin.com/feed/?doFeedRefresh=true&nis=true
